lte014.5-3.5+0.5a+0.0.BT-Settl.spec.gz, 2.393540238148e+01, 1.522262842700e+01, 9.891315619867e+00, 6.771267419064e+00, 4.469149653414e+00, 1.499999999002e+01 
lte014.5-4.0+0.5a+0.0.BT-Settl.spec.gz, 2.217866970808e+01, 1.545332887880e+01, 1.149170247154e+01, 9.152428183035e+00, 7.375240410169e+00, 1.499999999002e+01 
lte014.5-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.150703090978e+01, 1.555685173298e+01, 1.205769605856e+01, 9.876432128002e+00, 8.204844084486e+00, 1.499999999002e+01 
lte014.5-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.140160272831e+01, 1.572559342479e+01, 1.264989783665e+01, 1.035970990530e+01, 8.320277965230e+00, 1.499999999003e+01 
lte015-3.5+0.5a+0.0.BT-Settl.spec.gz, 2.327254902945e+01, 1.535718798232e+01, 1.073564827007e+01, 8.061468030434e+00, 6.068902306229e+00, 1.499999999002e+01 
lte015-4.0+0.5a+0.0.BT-Settl.spec.gz, 2.134016703236e+01, 1.542958589545e+01, 1.167830994808e+01, 9.399257834208e+00, 7.625963218462e+00, 1.499999999002e+01 
lte015-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.218348211628e+01, 1.543616514541e+01, 1.143983395319e+01, 9.122077573540e+00, 7.363373065824e+00, 1.499999999002e+01 
lte015-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.550027850754e+01, 1.533374925697e+01, 9.641700837092e+00, 6.539026666563e+00, 3.901593617349e+00, 1.499999999002e+01 
lte016-3.5+0.5a+0.0.BT-Settl.spec.gz, 2.190754492277e+01, 1.539693459797e+01, 1.135200047999e+01, 8.936002913761e+00, 6.847412639110e+00, 1.499999999002e+01 
lte016-4.0+0.5a+0.0.BT-Settl.spec.gz, 2.239624486674e+01, 1.539422052142e+01, 1.114778695867e+01, 8.696083798410e+00, 6.873306185694e+00, 1.499999999002e+01 
lte016-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.308164913639e+01, 1.537561988499e+01, 1.087912449344e+01, 8.250872037988e+00, 6.117878069224e+00, 1.499999999002e+01 
lte016-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.180607857237e+01, 1.566013910096e+01, 1.227197299528e+01, 1.016205258026e+01, 8.377643856036e+00, 1.499999999002e+01 
lte017-3.5+0.5a+0.0.BT-Settl.spec.gz, 2.210977672735e+01, 1.540770648056e+01, 1.127714831430e+01, 8.881116475061e+00, 6.855218807729e+00, 1.499999999002e+01 
lte017-4.0+0.5a+0.0.BT-Settl.spec.gz, 2.314867235357e+01, 1.535619168600e+01, 1.074934068725e+01, 8.055558385127e+00, 5.964844952068e+00, 1.499999999002e+01 
lte017-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.079102377753e+01, 1.539425357040e+01, 1.205865728825e+01, 9.940724706593e+00, 7.907710975654e+00, 1.499999999002e+01 
lte017-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.010931567212e+01, 1.518375734518e+01, 1.225142164721e+01, 1.034009004842e+01, 8.652901062876e+00, 1.499999999002e+01 
lte018-3.5+0.5a+0.0.BT-Settl.spec.gz, 2.237620073331e+01, 1.540350147019e+01, 1.124023941626e+01, 8.899100700758e+00, 6.502713216383e+00, 1.499999999002e+01 
lte018-4.0+0.5a+0.0.BT-Settl.spec.gz, 2.251738867023e+01, 1.542785158566e+01, 1.123250995826e+01, 8.772476801453e+00, 6.575734921078e+00, 1.499999999002e+01 
lte018-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.151599132746e+01, 1.552771238145e+01, 1.207092584159e+01, 1.011911512307e+01, 8.131238077089e+00, 1.499999999002e+01 
lte018-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.098163727924e+01, 1.528944709464e+01, 1.225679416545e+01, 1.028476064209e+01, 8.307388209109e+00, 1.499999999002e+01 
lte019-3.5+0.5a+0.0.BT-Settl.spec.gz, 2.018962427787e+01, 1.522594256206e+01, 1.185788957170e+01, 9.760934406061e+00, 7.303114736379e+00, 1.499999999002e+01 
lte019-4.0+0.5a+0.0.BT-Settl.spec.gz, 2.144434434878e+01, 1.531308269332e+01, 1.165013190694e+01, 9.345638377472e+00, 6.908732758261e+00, 1.499999999002e+01 
lte019-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.129909979407e+01, 1.548169943239e+01, 1.234522725916e+01, 1.047684897084e+01, 8.311145264390e+00, 1.499999999002e+01 
lte019-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.060548386237e+01, 1.518592549214e+01, 1.242020647001e+01, 1.050271004720e+01, 8.541219648674e+00, 1.499999999002e+01 
lte020-3.5+0.5a+0.0.BT-Settl.spec.gz, 1.831037282432e+01, 1.462551294061e+01, 1.190508954694e+01, 9.578604477761e+00, 7.112117208760e+00, 1.499999999001e+01 
lte020-4.0+0.5a+0.0.BT-Settl.spec.gz, 2.008839884152e+01, 1.514465497726e+01, 1.202800648810e+01, 9.910187960737e+00, 7.516983155254e+00, 1.499999999002e+01 
lte020-4.5+0.5a+0.0.BT-Settl.spec.gz, 2.137200067553e+01, 1.546170916311e+01, 1.211852076136e+01, 1.017039675466e+01, 7.909481135940e+00, 1.499999999002e+01 
lte020-5.0+0.5a+0.0.BT-Settl.spec.gz, 2.000081458840e+01, 1.493592934924e+01, 1.224560747238e+01, 1.012633562799e+01, 8.092972870371e+00, 1.499999999002e+01 
lte021-3.5+0.5a+0.0.BT-Settl.spec.gz, 1.771091676677e+01, 1.472943084099e+01, 1.232829380540e+01, 1.028534790454e+01, 8.029748974931e+00, 1.499999999001e+01 
