   index      lower edge     grid center      upper edge
       0        -1.45833               0         1.45833
       1         1.45833         2.91667           4.375
       2           4.375         5.83333         7.29167
       3         7.29167            8.75         10.2083
       4         10.2083         11.6667          13.125
       5          13.125         14.5833         16.0417
       6         16.0417            17.5         18.9583
       7         18.9583         20.4167          21.875
       8          21.875         23.3333         24.7917
       9         24.7917           26.25         27.7083
      10         27.7083         29.1667          30.625
      11          30.625         32.0833         33.5417
      12         33.5417              35         36.4583
