   index      lower edge     grid center      upper edge
       0         11.7188            12.5         13.2812
       1         13.2812         14.0625         14.8438
       2         14.8438          15.625         16.4062
       3         16.4062         17.1875         17.9688
       4         17.9688           18.75         19.5312
       5         19.5312         20.3125         21.0938
       6         21.0938          21.875         22.6562
       7         22.6562         23.4375         24.2188
       8         24.2188              25         25.7812
       9         25.7812         26.5625         27.3438
      10         27.3438          28.125         28.9062
      11         28.9062         29.6875         30.4688
      12         30.4688           31.25         32.0312
      13         32.0312         32.8125         33.5938
      14         33.5938          34.375         35.1562
      15         35.1562         35.9375         36.7188
      16         36.7188            37.5         38.2812
      17         38.2812         39.0625         39.8438
      18         39.8438          40.625         41.4062
      19         41.4062         42.1875         42.9688
      20         42.9688           43.75         44.5312
      21         44.5312         45.3125         46.0938
      22         46.0938          46.875         47.6562
      23         47.6562         48.4375         49.2188
      24         49.2188              50         50.7812
      25         50.7812         51.5625         52.3438
      26         52.3438          53.125         53.9062
      27         53.9062         54.6875         55.4688
      28         55.4688           56.25         57.0312
      29         57.0312         57.8125         58.5938
      30         58.5938          59.375         60.1562
      31         60.1562         60.9375         61.7188
      32         61.7188            62.5         63.2812
